edicao,categoria,titulo,autores,abstract,url
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Inclusão de Mulheres na Área de Cibersegurança no Brasil,Maristela Holanda (UnB); Adrielly Lima (UnB); Emilly Victoria Bernardes (UnB); Luana Cruz Silva (UnB); Marjorie Mitzi (UnB); Aleteia Araujo (UnB); João Gondim (UnB); Maria Emilia Machado Telles Walter (UnB),"A baixa participação profissional das mulheres em Computação é mais agravada em algumas de suas áreas, como a da cibersegurança. Neste contexto, a partir de um mapeamento da literatura, este artigo apresenta ações e iniciativas feitas no Brasil para a inclusão feminina nessa área. Para isso, foram pesquisados artigos nas bases de dados Scopus, Web of Science e Google Acadêmico e em dois eventos da Sociedade Brasileira de Computação (SBC), o Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg) e o Women in Information Technology (WIT). Nessa pesquisa, localizou-se apenas um artigo, que utiliza a cibersegurança em uma atividade de inclusão de mulheres na Computação, e cinco projetos sobre o tema. Assim, constatou-se que há uma carência de informações sobre a atuação das mulheres em cibersegurança no país. Em âmbito mundial, foram encontrados artigos produzidos em países de cinco continentes. A partir dessas informações, foram propostas ações que podem contribuir para a inclusão de mulheres nesta àrea.",https://sol.sbc.org.br/index.php/wit/article/view/35966
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,"Presença de mulheres na Engenharia: Um estudo sobre Representatividade no CEFET-MG, campus Divinópolis",Marinêz V. de M. Werneck Magalhães (CEFET-MG); Thabatta M. A. de Araújo (CEFET-MG); Alba V. A. Durães (CEFET-MG); Gabriella C. B. C. Dalpra (CEFET-MG),,https://sol.sbc.org.br/index.php/wit/article/view/35967
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,"Interseccionalidade e Tecnologia: Um Mapeamento Sistemático de Publicações em Português sobre Gênero, Raça e Classe na Participação Feminina",Karolyne Rodrigues (IFCE); Rayane Silva Duarte (IFCE); Ádina Lima (IFCE); Fernanda Ferreira do Nascimento (IFCE); Rogério Lopes Vieira César (IFCE),,https://sol.sbc.org.br/index.php/wit/article/view/35968
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Investigando o Ingresso e a Permanência Feminina no Curso de Ciência da Computação da UESB: Uma Análise Dos Últimos 10 Anos,Lívia Evily de A. Rocha (UESB); Ana Carolina X. Castro (UESB); Camille R. Costa (UESB); Lis L. Sousa (UESB); Maria Luísa G. Gonzalez (UESB),,https://sol.sbc.org.br/index.php/wit/article/view/35969
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Conectando Mulheres à STEM: Um Panorama dos Eventos de Empoderamento Feminino na Tecnologia da Informação,Ana Clara Ribeiro Rodrigues da Cunha (IFTM); Lídia Bononi Paiva Tomaz (IFTM),,https://sol.sbc.org.br/index.php/wit/article/view/35970
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Mulheres na Integração de Produtos do Instituto Eldorado: Quais suas Motivações e Expectativas na Carreira?,Ariel Luane Bentes (IPE); Anna Beatriz Marques (UFC); Adriana Damian (IPE),,https://sol.sbc.org.br/index.php/wit/article/view/35971
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,A Síndrome do Impostor entre estudantes de tecnologia na Universidade Federal do Amazonas,Fernanda Alice F. Duarte (UFAM); Ana Carolina Oran (UFAM); Anna Beatriz Marques (UFC),"A Síndrome do Impostor é um fenômeno que afeta a autoconfiança e o desempenho de uma pessoa, sendo comum em áreas competitivas, como a tecnologia. Este estudo investiga sua prevalência entre 101 estudantes de Engenharia de Software e Ciência da Computação da Universidade Federal do Amazonas, analisando se as alunas enfrentam essa condição com maior frequência. A pesquisa utilizou um questionário que inclui a Escala Clance do Fenômeno do Impostor (CIPS) para avaliar a intensidade da síndrome e a autopercepção dos participantes. Os resultados mostram que uma parcela significativa dos respondentes é afetada, sendo a maioria formada por mulheres, o que destaca a necessidade de medidas de suporte específicas para esse grupo.",https://sol.sbc.org.br/index.php/wit/article/view/35972
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Desafios e Perspectivas da Participação Feminina na Tecnologia: Um Estudo sobre o Programa OxeTech,Lais S. Almeida (UFAL); Geymerson S. Ramos (UFAL); Raquel S. Cabral (UFAL); Eliana S. Almeida (UFAL),,https://sol.sbc.org.br/index.php/wit/article/view/35973
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Bridging the Gap: A Data-Driven Analysis of How Traditional Software Engineering Productivity Metrics Overlook Women’s Performance,Lorena M. V. Seabra (CESAR School); Pamela T. L. Bezerra (CESAR School),,https://sol.sbc.org.br/index.php/wit/article/view/35974
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,O que é Liderança Acadêmica de Mulheres em STEM? Uma Abordagem Conceitual,Leihge Roselle Rondon Pereira (UFMT); Cristiano Maciel (UFMT); Indira Rita Guzman (CalPoly),,https://sol.sbc.org.br/index.php/wit/article/view/35975
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Mulheres em Cargo de Liderança em Tecnologia: Uma Análise Fenomenológica,Safyre A. Farao (UFSC); Andréa Sabedra Bordin (UFSC),,https://sol.sbc.org.br/index.php/wit/article/view/35976
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Voices in Code: estudo de caso acerca da trajetória das mulheres em um curso de Ciência da Computação,Dyelle H. N. Almeida (UERN); Allany S. Rodrigues (UERN); Ingrid G. C. Lira (UERN); Lyziane da S. Nogueira (UERN); Sebastião E. A. Filho (UERN); Ceres G. B. Morais (UERN),,https://sol.sbc.org.br/index.php/wit/article/view/35977
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Hackathon 360: Estimulando Meninas na Computação em Projetos de Robótica Social para Educação,Tainá G. Souza (UFF); Marcia Flores (UFF); Nathália Monteiro (UFF); Estéfani Eller (UFF); Sandy Cabral (UFF); Adelmo Lima (UFF); Aline P. Nascimento (UFF); Débora C. Muchaluat-Saade (UFF); Luciana C. C. Salgado (UFF),,https://sol.sbc.org.br/index.php/wit/article/view/35978
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Iniciativas de ensino de programação para mulheres: Um mapeamento sistemático,Sthefany Ferreira (UFAC); Gabriela Santos (UFAC); Victoria Cavalcante (UFAC); Alessandreia Oliveira (UFJF); Catarina Costa (UFAC),,https://sol.sbc.org.br/index.php/wit/article/view/35979
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Trajetória feminina nos últimos 10 anos em curso de Sistemas de Informação situado no interior de pequeno estado do Nordeste do Brasil,Mai-Ly V. A. S. Faro (UFS); Alessandra C. N. Lima (UFS); Raphael P. de Oliveira (UFS); Fernanda M. B. Souza (UFS); Gabriella N. dos S. da Silva (UFS),,https://sol.sbc.org.br/index.php/wit/article/view/35980
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Mulheres na Computação: uma análise baseada em Teoria Fundamentada nos Dados para o curso de Sistemas de Informação do IFS/Campus Lagarto,Larissa de G. Barreto (IFS); Catuxe V. de S. Oliveira (IFS); Luiz Diego V. Santos (UEFS); Jislane S. S. de Menezes (IFS); Vana Hilma V. Carvalho (IFS); Cristiane O. de Santana (IFS),,https://sol.sbc.org.br/index.php/wit/article/view/35981
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,O Papel da Mulher nos Jogos Digitais: Um Mapeamento Sistemático da Literatura,Mayara L. de F. Neves (UFPR); Clausius D. G. Reis (UFPR); Rachel C. D. Reis (UFPR),,https://sol.sbc.org.br/index.php/wit/article/view/35982
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Um Panorama da Presença Feminina nos Programas de Pós-Graduação em Ciência da Computação Brasileiros - Um Estudo Bibliométrico –,Rosane Teles Lins Castilho (UFRJ); Fabio Castro Gouveia (UFRJ),"A ciência continua a sub-representar as mulheres em todos os níveis acadêmicos nos dias de hoje. Isto aplica-se também à sua representação nos departamentos de ciência da computação mundo afora, onde estudos recentes mostram que mulheres representam entre 20 e 24% dos corpos docentes. O presente estudo bibliométrico procura preencher parte da lacuna de análises sobre a representação feminina, produção acadêmica (publicações) e áreas de pesquisa da Ciência da Computação brasileira, através das docentes vinculadas aos programas de pós-graduação em Ciência da Computação nota 7, na avaliação da CAPES, dos quadriênios 2013-2016 e 2017-2020. Os resultados revelam semelhanças aos do nível internacional",https://sol.sbc.org.br/index.php/wit/article/view/35983
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Desafios e Motivações de Mulheres na Computação - Análise de Entrevistas de um Podcast,Tainara Silva Novaes (UTFPR); Larissa Behrens Soares (UTFPR); Adolfo Neto (UTFPR); Mariangela Setti (UTFPR); Maria Claudia Figueiredo Pereira Emer (UTFPR),,https://sol.sbc.org.br/index.php/wit/article/view/35984
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Redes Sociais na Divulgação de uma Iniciativa por e para Mulheres na Computação,Heloisa Benedet Mendes (UFPR); Mayara Lessnau de Figueiredo Neves (UFPR); Thalita Maria do Nascimento (UFPR); Barbara Reis dos Santos (UFPR); Sofia Wamser Lima (UFPR); Clausius Duque Gonçalves Reis (UFPR); Rachel Carlos Duque Reis (UFPR),,https://sol.sbc.org.br/index.php/wit/article/view/35985
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Avaliação de Desempenho por Sexo Biológico nos Cursos de Ciência da Computação e Engenharia de Software,Sofia de C. Sato (UFAM); André Y. S. Okimoto (UFAM); Yago de J. B. Lobato (UFAM); João C. N. Nogueira (UFAM); Guilherme L. de S. e Souza (UFAM); Ana L. M. dos Santos (UFAM); Leandro S. G. de Carvalho (UFAM); Tanara Lauschner (UFAM); Fabíola G. Nakamura (UFAM); Eduardo F. Nakamura (UFAM),,https://sol.sbc.org.br/index.php/wit/article/view/35986
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Análise do perfil das estudantes do curso de Sistemas de Informação do IFS/Campus Lagarto: um primeiro passo para a inclusão e permanência das mulheres na área de tecnologia,Larissa de G. Barreto (IFS); Catuxe V. de S. Oliveira (IFS); Luiz Diego V. Santos (UEFS); Jislane S. S. de Menezes (IFS); Vana H. V. Carvalho (IFS); Cristiane O. de Santana (IFS),,https://sol.sbc.org.br/index.php/wit/article/view/35987
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,As Causas Sistêmicas por trás do Viés de Gênero em IA: Um Mapeamento Sistemático da Literatura,Rafaela Toledo Dolabella (UFV); Thais Regina de Moura Braga Silva (UFV); Gláucia Braga e Silva (UFV); Estela Miranda Batista (UFV),,https://sol.sbc.org.br/index.php/wit/article/view/35988
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Entendendo melhor o processo de decisão para ingressar em cursos de tecnologia na Universidade Federal da Paraíba,Raquel Vigolvino Lopes (UFPB); Renata Viegas de Figueiredo (UFPB); Maria Gabriella Freire F. S. de Oliveira (UFPB); Maria Victoria M. de Araujo (UFPB); Dayanny Soares (UFPB),,https://sol.sbc.org.br/index.php/wit/article/view/35989
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Avaliação Retrospectiva da Experiência de uma Coorte de Egressas de um Curso de Introdução à Programação para Alunas do Ensino Médio e Concluintes,Juliana Martins Leoncio Eusebio (USP); Maria da Graça Campos Pimentel (USP),,https://sol.sbc.org.br/index.php/wit/article/view/35990
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Análise da Participação Feminina nos Cursos de Nível Superior da área de Computação do IFPE,Ana Carolina Barbosa dos Santos (IFPE); Ellen Patrícia Lopes de Santana (IFPE); Viviane Cristina Oliveira Aureliano (IFPE),,https://sol.sbc.org.br/index.php/wit/article/view/35991
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Mulheres na Ciência de Dados: Três Anos de Desafios e Avanços,Jullie Belmonte (CEFET-RJ); Kele Belloze (CEFET-RJ); Carmen Lucia A. Queiroz (CEFET-RJ); Mayara M. Omai (CEFET-RJ); Fabricio Lopes e Silva (CEFET-RJ); Rafaelli Coutinho (CEFET-RJ); Diego Brandão (CEFET-RJ),,https://sol.sbc.org.br/index.php/wit/article/view/35992
2025: Anais do XIX Women in Information Technology,Artigos de Pesquisa,Oficinas de Pensamento Computacional: explorando a experiência de estudantes sob a perspectiva de gênero,Sofia Bento Desidério (UFC); Marina Azevedo (UFC); Mayronn Gomes Viana (UFC); Aline Nunes (UFC); Maria Julia Siqueira (UFC); Ylana Torres (UFC); Jayne Cristina (UFC); Julia Barros (UFC); Valéria da Silva Pinheiro (UFC); Anna Beatriz Marques (UFC),,https://sol.sbc.org.br/index.php/wit/article/view/35993
