autores_tratados,Sexo Primeiro Autor (dic),Qtd Autores Feminino (dic),Qtd Autores Unknown (dic)
CARLOS CARDOSO; CAIO SILVA; ALAN VELOSO; JEFFSON SOUSA; ANTONIO ABELEM,M,0.0,1.0
GISLAINY CRISOSTOMO VELASCO; NOELI ANTONIA PIMENTEL VAZ; MARCOS ALVES VIEIRA; SERGIO T. CARVALHO,unknown,1.0,1.0
ALINE GABRIELA LOIOLA ALMEIDA; WILLIAM ALVES E COIMBRA; DERCIO MANIQUE SANCHES DOS SANTOS; LUIZ FELIPE LACERDA PIMENTEL; LINDOLPHO OLIVEIRA DE ARAUJO JUNIOR,F,1.0,1.0
M. A. PASTRANA; NICOLAS Y. GOMES; ROBERTO DE SOUZA BAPTISTA; DANIEL M. MUNOZ,unknown,0.0,1.0
GABRIELA ITACARAMBY; JOAO L. CABRAL; M. A. PASTRANA; WILLIAM HUMBERTO CUELLAR SANCHEZ; ROBERTO DE SOUZA BAPTISTA; DANIEL M.,F,1.0,1.0
PAVEL KOLESNIKOV; KONSTANTIN KLIMOV; VLADIMIR DANILOV; DMITRY KAPYTOV,unknown,0.0,3.0
ALTERNEI DE SOUZA BRITO; EMANUELLE DE SOUZA GIL; FELIPE GOMES DE OLIVEIRA,unknown,1.0,1.0
PABLO MORAES; MONICA RODRIGUEZ; KRISTOFER S. KAPPEL; HIAGO SODRE; SANTIAGO FERNANDEZ; IGOR NUNES; BRUNA GUTERRES; RICARDO GRANDO,M,2.0,1.0
GABRIEL DO PINHO MARTINS; KRISTOFER STIFT KAPPEL; VINICIUS LEITE DE GARCIA; FELIPE GOMES DE OLIVEIRA; NELSON DUARTE FILHO; PAULO LILLES JORGE DREWS,M,0.0,1.0
JHORLEN SOUZA BIANOR; LUCAS MATOS DE ABREU DIAS; PAULO L. J. DREWS-JR; DANIEL FERNANDO TELLO GAMARRA; ANSELMO RAFAEL CUKLA; FELIPE GOMES DE OLIVEIRA,unknown,0.0,1.0
JARDEL DOS SANTOS DYONISIO; STEPHANIE LOI BRIAO; KRISTOFER STIFT KAPPEL; RODRIGO SILVA GUERRA; EMANUEL DA SILVA DIAZ ESTRADA; PAULO LILLES JORGE DREWS,M,1.0,1.0
M. A. PASTRANA; LUKAS A. DA SILVA; ROBERTO DE SOUZA BAPTISTA; DANIEL M. MUNOZ,unknown,0.0,1.0
MARCOS VINICIUS S. PASSAMANI; MARCOS R. O. A. MAXIMO; LUCKECIANO C. MELO,M,0.0,1.0
MURILO C. BICHO; KRISTOFER S. KAPPEL; PAULO L. J. DREWS-JR; RODRIGO S. GUERRA,M,0.0,1.0
DANIELE DE SOUZA SALES RIBEIRO; MARIANA DE MOURA CUNHA COELHO; ELIANFRANCIS SILVEIRA DE SOUZA; MARIANE SABINO SANTIAGO; ACCACIO FERREIRA DOS SANTOS NETO,F,3.0,2.0
ANDREI FREIBERGER; STIVEN SCHWANZ DIAS; MARCOS R. O. A. MAXIMO,M,0.0,1.0
MARINA Z. ROCHA; IGOR P. MAURELL; KRISTOFER S. KAPPEL; PAULO L. J. DREWS; RODRIGO S. GUERRA,F,1.0,1.0
M. A. PASTRANA; MATHEUS DE S. LUIZ; FILIPE R. BARBOSA; ROBERTO DE SOUZA BAPTISTA; DANIEL M. MUNOZ,unknown,0.0,1.0
GABRIEL BATISTUTA URBANO LOPES; RYLLARI RAIANNE MARQUES DE SANTANA COSTA; SEBASTIAO EMIDIO ALVES FILHO,M,0.0,1.0
FABIO HUANG; GEFFTE L. DE S. CAETANO; AMANDA OTTONI; GABRIEL R. BONETTI; VINICIUS F. DE ANDRADE; GABRIEL P. FALCAO; LIANA DUENHA,M,2.0,1.0
MARIA EDUARDA T. SOUZA; JOAO PEDRO R. SILVA; MATHEUS E. DA SILVA; EDUARDO H. B. MAIA; ALISSON MARQUES DA SILVA; ANDRE L. M. SILVA; THABATTA M. A. DE ARAUJO,F,1.0,1.0
CLARISSE RIBEIRO OLIVEIRA; MARIANA DA SILVA REIS; M. A. PASTRANA; MIGUEL SCARDINI DE OLIVEIRA; NICOLAS YURI GOMES ROCHA; DANIEL M. MUNOZ; ROBERTO DE SOUZA BAPTISTA,F,2.0,1.0
WENDRESSON CARVALHO; MELQUISEDEQUE ALVES; AKYNARA BURLAMAQUI; AQUILES BURLAMAQUI,unknown,0.0,2.0
LUCAS GABRIEL SOARES BORGES; EDUARDO CASIMIRO COSTA; DAVI FARIA DE SOUSA GUIMARAES; EDUARDO HABIB BECHELANE MAIA; THABATTA M. A. DE ARAUJO; DIEGO FERNANDES DA CRUZ,M,0.0,1.0
ANDRE LUIZ BUIAR; JULIA CORREA LIMA; RONNIER FRATES ROHRICH; ANDRE SCHNEIDER DE OLIVEIRA,M,1.0,1.0
JULIA M. LIMA; THAYRON M. HUDSON; ALEXANDRE S. BRANDAO,F,1.0,1.0
MARCIO POHLMANN; ALEX SEVERO; GEFTE ALMEIDA; DIEGO KREUTZ; TIAGO HEINRICH; LOURENCO PEREIRA,M,0.0,1.0
GEFTE ALMEIDA; MARCIO POHLMANN; ALEX SEVERO; DIEGO KREUTZ; TIAGO HEINRICH; LOURENCO PEREIRA,unknown,0.0,1.0
JONER ASSOLIN; DIEGO KREUTZ; LEANDRO BERTHOLDO,unknown,0.0,1.0
ITALO UCHOA; DENIS SOUSA; MATHEUS PAIXAO; PEDRO MAIA; ANDERSON UCHOA; CHAIYONG RAGKHITWETSAGUL,M,0.0,1.0
JOAO EMILIO ANTONIO VILLA; RICARDO FERREIRA VILELA; PEDRO HENRIQUE VALLE; WILLIAMSON SILVA,M,0.0,1.0
JOHNNY MARQUES; SARASUATY YELISETTY,M,0.0,1.0
FLAVIA OLIVEIRA; ALAY NASCIMENTO; ANA PAULA SILVA; LEONARDO TIAGO; LENNON CHAVES,F,2.0,1.0
THIAGO QUEIROZ; GRETCHEN T. DE MACEDO; IGOR STEINMACHER; TAYANA CONTE; ANA CAROLINA ORAN; BRUNO GADELHA,M,2.0,1.0
MURILO COELHO; ISABELLE REINBOLD; LIZIE SANCHO; MATHEUS PAIXAO; ALLYSSON ALLEX ARAUJO; SAVIO FREIRE,M,1.0,1.0
JOEY CLAPTON; HUGO BASTOS; JOAO PEDRO OLIVEIRA BATISTELI; DANILO BOECHAT SEUFITELLI; CLEITON TAVARES,unknown,0.0,1.0
MARIA INES VALE SILVA; RAMON NICOLAS GOMES LUNA; AMANDA K. B. CAVALCANTE; VALERIA LELLI; ROSSANA M. DE CASTRO ANDRADE; JOSE MARIA MONTEIRO; ISMAYLE DE SOUSA SANTOS,F,4.0,1.0
WERNEY AYALA LUZ LIRA; PEDRO DE ALCANTARA DOS SANTOSNETO; GUILHERME AMARAL AVELINO; LUIZ FERNANDO MENDES OSORIO,unknown,0.0,1.0
ARTHUR ALEXI; YGHOR RIBAS; HUGO BASTOS; ALINE BRITO; LEONARDO CARDOSO; CLEITON TAVARES,M,1.0,1.0
MATHEUS OLIVEIRA; JONATHAN SILVA; AWDREN FONTAO,M,0.0,1.0
BRIZA MEL DIAS; RENATO CORDEIRO FERREIRA; ALFREDO GOLDMAN,unknown,0.0,1.0
LUIZ FERNANDO MENDES OSORIO; PEDRO DE A. DOS SANTOS NETO; GUILHERME AVELINO; WERNEY AYALA LUZ LIRA,M,0.0,1.0
ANDRESSA DOS SANTOS LOPES; MARIALINA CORREA SOBRINHO; CLAYTON ANDRE MAIA DOS SANTOS; DEIVID EIVE DOS S. SILVA,F,1.0,1.0
ANDRE L. S. E OLIVEIRA; MATHEUS NASCIMENTO; ANTONIO FILHO; ANA CECILIA NASCIMENTO; ERIK FREIRE RAMOS; CHRISTOPHER A. T. DA SILVA; YUSKA PAOLA COSTA AGUIAR,M,1.0,1.0
VALERIA LELLI; FABIANA GOMES MARINHO; LUCAS CABRAL AMADOR MOURAO; PAULO AFONSO PAMPLONA; LUCAS FERREIRA DE ALMEIDA; ROSSANA M. DE CASTRO ANDRADE; ISMAYLE DE SOUSA SANTOS; JULIANA LOPES GURGEL; MARIA INES VALE SILVA,F,5.0,1.0
QUEFREN LEHER; JOSUE LOPEZ-CABREJOS; GUSTAVO FERRETI; LUCAS HILDELBRANO COSTA CARVALHO; ANA GABRIELA ALVAREZ; THUANNE PAIXAO; ANA BEATRIZ ALVAREZ; FACUNDO PALOMINO-QUISPE,unknown,2.0,3.0
JOSUE LOPEZ-CABREJOS; QUEFREN LEHER; GUSTAVO FERRETI; LUCAS HILDELBRANO COSTA CARVALHO; THUANNE PAIXAO; ANA BEATRIZ ALVAREZ; D. B. LUQUE,M,1.0,3.0
LUCAS HILDELBRANO COSTA CARVALHO; QUEFREN LEHER; JOSUE LOPEZ-CABREJOS; GUSTAVO FERRETI; ANA BEATRIZ ALVAREZ; THUANNE PAIXAO; OLACIR RODRIGUES CASTRO JUNIOR,M,1.0,2.0
WAGNER L. O. SANTOS; LIZETH J. F. PEREZ; ESTEBAN W. G. CLUA; RENATO PAJAROLA; ANSELMO A. MONTENEGRO,M,0.0,1.0
ANDRE NOBREGA; JOAO CONTRERAS; PASCUAL FIGUEROA; ALEXANDRE FALCAO,M,0.0,1.0
NOEMI MARITZA L. ROMERO; RICCO V. C. SOARES; MARIANA RECAMONDE-MENDOZA; JOAO L. D. COMBA,F,2.0,1.0
JOAO CONTRERAS; ANDRE NOBREGA; PASCUAL FIGUEROA; ALEXANDRE FALCAO,M,0.0,1.0
DAVID APARCO-CARDENAS; JANCARLO F. GOMES; ALEXANDRE X. FALCAO; PEDRO J. DE REZENDE,M,0.0,1.0
ITALO DE MATOS SALDANHA; VINICIUS ATSUSHI SATO KAWAI; BIONDA ROZIN; GUSTAVO ROSSETO LETICIO; LUCAS PASCOTTI VALEM; DANIEL CARLOS GUIMARAES PEDRONETTE,M,0.0,1.0
NURY AROSQUIPA; R. HIRATA,unknown,0.0,2.0
JULIO V. M. MARQUES; WILLIANS S. SANTOS; ANTHONY I. M. LUZ; RAFAEL L. ARAUJO; ALCILENE D. DE SOUSA; JOSE L. R. SARMENTO; ROMUERE R. V. SILVA,M,1.0,1.0
LUCAS WOJCIK; GABRIEL E. LIMA; VALFRIDE NASCIMENTO; EDUIL NASCIMENTO; RAYSON LAROCA; DAVID MENOTTI,M,0.0,2.0
EMANUEL C. SILVA; TATIANA T. SCHEIN; STEPHANIE L. BRIAO; GUILHERME L. M. COSTA; FELIPE G. OLIVEIRA; GUSTAVO P. ALMEIDA; EDUARDO L. SILVA; SAM S. DEVINCENZI; KARINA S. MACHADO; PAULO L. J. DREWS,M,3.0,1.0
LEANDRO SOUZA DA SILVA; MAURICIO SCHIEZARO; DIULHIO OLIVEIRA,M,0.0,1.0
XIMENA POCCO; WAQAR HASSAN; KARELIA SALINAS; VLADIMIR MOLCHANOV; LUIS G. NONATO,unknown,0.0,3.0
JUANPABLO HEREDIA; LEIGHTON ESTRADA-RAYME; JEREMY MATOS-CANGALAYA; JORGE POCO,unknown,0.0,3.0
GUILHERME TOLEDO; LORENZO CARRERA DE OLIVEIRA; EANES TORRES PEREIRA,M,0.0,1.0
KAUE TN DUARTE; MURILO C. BARROS; ABHIJOT S. SIDHU; DAVID G. GOBBI; CHERYL R. MCCREARY; FERYAL SAAD; ERIC E. SMITH; MARIANA P. BENTO; RICHARD FRAYNE,M,1.0,3.0
ANDERSON SILVA; MARCOS FARIAS; JOAO SOUZA; DANIEL PINTO; FILIPE BELFORT; MARIO FREITAS; ALEXANDRE ARAUJO; ALEXANDRE PESSOA; ARISTOFANES SILVA; ANDREY RODRIGUES; MARCELO ALBUQUERQUE,M,0.0,1.0
KAREN LARKINA; OKSANA HOLOMSHA; LUCAS LEMOS; AMILCAR SOARES; RAFAEL M. MARTINS; ANDREAS KERREN; VINICIUS R. P. BORGES; CELIA G. RALHA; JEAN R. PONCIANO; CLAUDIO D. G. LINHARES,F,2.0,1.0
RUBENS DE C. PEREIRA; DIBIO L. BORGES; MURILLO LOBO; RICARDO DA S. TORRES; HELIO PEDRINI,M,0.0,1.0
FABIAN CONCHA SIFUENTES; EDWARD CAYLLAHUA CAHUINA; RENSSO MORA COLQUE,M,0.0,1.0
YAN OLIVEIRA DA COSTA; VINCENT TOMIO; NATASHA M. C. VALENTIM,M,1.0,1.0
YURI P. S. ZAIDAN; ERIC F. MONTEIRO; DUNCAN RUIZ; AFONSO SALES; MILENE SILVEIRA,M,1.0,1.0
IMNA P. N. DE SOUSA; LUAN MATEUS S. FARIAS; GUSTAVO HENRIQUE L. SOUSA; ROSSANA MARIA DE CASTRO ANDRADE; PEDRO ALMIR MARTINS DE OLIVEIRA,unknown,1.0,1.0
PAULO C. R. PINHO; RENAN Z. DA SILVA; TIAGO T. PRIMO; DIEGO DERMEVAL; IG I. BITTENCOURT; SEIJI ISOTANI,M,0.0,1.0
EMANUEL FERREIRA; SILVIO E. QUINCOZES; MATHEUS M. CIOCCA; GABRIEL SILVA; PAULO SOUZA; GILLEANES GUEDES; WILLIAMSON SILVA,M,0.0,2.0
ANDRE MENDES; ARTHUR PARIZOTTO; RENATO GARCIA; MARCELINO GARCIA; GILLEANES GUEDES; RICARDO VILELA; PEDRO VALLE; RENATO BALANCIERI; WILLIAMSON SILVA,M,0.0,2.0
DEFALA FILHO; FABRIZIO HONDA; FERNANDA PIRES; MARCELA PESSOA,unknown,2.0,1.0
CLARIVANDO F. BELIZARIO JUNIOR; FABIANO A. DORCA; LUCIANA ASSIS; ALESSANDRO VIVAS; RENAN G. CATTELAN; ARTHUR H. DE SOUZA,unknown,1.0,1.0
RUAN CARVALHO; PERICLES B. C. MIRANDA; HILARIO T. A. OLIVEIRA; CLEON XAVIER; LUIZ RODRIGUES; NEWARNEY T. COSTA; RAFAEL FERREIRA MELLO,M,0.0,1.0
JULIETE A. R COSTA; GEYCY D. O. LIMA; RAFAEL D. ARAUJO; FABIANO A. DORCA,F,1.0,1.0
HELOISE ACCO TIVES BEDIN; MADIANITA BOGO MARIOTI; PATRICIA JAQUES,F,2.0,1.0
MARCELINO GARCIA; RENATO GARCIA; ARTHUR PARIZOTTO; ANDRE MENDES; PEDRO VALLE; RICARDO VILELA; RENATO BALANCIERI; WILLIAMSON SILVA,M,0.0,1.0
WALLYCE AZY; REGINA BRAGA; VICTOR STROELE; JOSE MARIA DAVID; FERNANDA CAMPOS,unknown,2.0,1.0
JAMILLA LOBO; LENON ANTHONY; ANDREZA FALCAO; CLEON XAVIER; NEWARNEY TORREZAO; SEIJI ISOTANI; IG IBERT; LUIZ RODRIGUES; RAFAEL MELLO,unknown,1.0,3.0
M. LUIZA R. MENEZES; ROSA MARIA VICARI,unknown,1.0,1.0
GUILHERME GUERINO; LUIZ RODRIGUES; LIVIA OLIVEIRA; MARCELO MARINHO; THOMAZ SILVA; LUIZ AMORIM; DIEGO DERMEVAL; RODOLFO DA PENHA; IG BITTENCOURT; SEIJI ISOTANI,M,1.0,1.0
RHEDSON ESASHIKA; CARLOS M. S. FIGUEIREDO; TIAGO DE MELO,unknown,0.0,1.0
DAVID FERREIRA BRANDAO; CLEYTON MARIO DE OLIVEIRA RODRIGUES; WYLLIAMS BARBOSA SANTOS,M,0.0,1.0
THIAGO CORREA DE OLIVEIRA JESSE; CAEATANO MAZZONI RANIERI,M,0.0,1.0
L. ROCHA; B. AMARO; V. FURTADO; N. DUQUE; V. MENEZES; J. CLAUDIO,unknown,0.0,6.0
WILLGNNER FERREIRA SANTOS; ARLINDO RODRIGUES GALVAO FILHO; SAVIO SALVARINO TELES DE OLIVEIRA; JOAO PAULO CAVALCANTE PRESA,unknown,0.0,1.0
OTAVIO FERRACIOLI COLETTI; SAULO MATOS NEVES; CAETANO MAZZONI RANIERI; GOWRI SANKAR RAMACHANDRAN; RAJA JURDAK; JO UEYAMA,M,0.0,2.0
SHEIELY DO O NASCIMENTO; ENYO GONCALVES; MARCOS OLIVEIRA; ERLANIO FREIRE BARROS,unknown,0.0,2.0
PAULO V. MOURAO; MARCELA P. PESSOA; OSWALD M. EKWOGE; MARCELO E. ANJOS,M,1.0,1.0
HENRIQUE LIMA; CRISTOFER SILVA; RICARDO NERY; WILMER CORDOBA CAMACHO; RICARDO BRAZILEIRO; RODRIGO DE PAULA MONTEIRO; ANDREA MARIA NOGUEIRA CAVALCANTI RIBEIRO; CARMELO JOSE ALBANEZ BASTOS-FILHO; MARIELA CERRADA; DIEGO PINHEIRO,M,2.0,1.0
MARCO ANTONIO MARTINS RIBEIRO DE JESUS; AHMED ESMIN,M,0.0,1.0
WANESSA S. BEZERRA; KARLIANE M. O. VALE; FLAVIUS L. GORGONIO; FABRICIO V. A. GUERRA; ARTHUR C. GORGONIO; ANNE M. P. CANUTO,F,3.0,1.0
GABRIEL B. BREDER; GYSLLA VASCONCELOS; MARIZA FERRO,M,1.0,1.0
MATHEO ANGELO PEREIRA DANTAS; ANDRE CARLOS PONCE DE LEON FERREIRA DE CARVALHO,unknown,0.0,1.0
ESTELA RIBEIRO; QUENAZ BEZERRA SOARES; FELIPE MENEGUITTI DIAS; JOSE E. KRIEGER; MARCO ANTONIO GUTIERREZ,F,1.0,1.0
SHINICHI ISHII; ANA CLAUDIA DE ARAUJO MOXOTO; EDJARD MOTA,unknown,1.0,2.0
CAMILA ALVES DIAS; THIAGO SOTORIVA LERMEN; ROMULO MARCONATO STRINGHINI; CRISTIANO ANDRE DA COSTA; CLAUDIO ROSITO JUNG; MANUELA M. COSTA; DIMITRIS V. RADOS; FABIANA CARVALHO; MARCELO R. GONCALVES,F,3.0,1.0
LUANA B. MENDES; KESLLEY W. C. GUIMARAES; IGOR C. VALENCIANO; BIANCA CRISTINA O. DO E. S. SILVA; PATRICIA DE SOUZA; THIAGO M. VENTURA; ALLAN G. DE OLIVEIRA,F,3.0,1.0
THOMAZ EDSON VELOSO DA SILVA; ANDRE ARAUJO DE LIMA; RONATHAN NASCIMENTO VELOSO,M,0.0,1.0
MARLENY LUQUE CARBAJAL; M. CECILIA C. BARANAUSKAS,unknown,0.0,2.0
DIMARY MORENO LOPEZ; JOAO TEIXEIRA; SINESIO PESCO; ABELARDO B. B. JUNIOR; JOSE R. P. RODRIGUES; REGINA ALVES; RODRIGO GUSMAO CAVALCANTE; MALU GRAVE,unknown,2.0,1.0
JON KARL WEIBULL; FILIP DUARTE DOS SANTOS; JEFFERSON ALVES DE SOUZA; DENYSON TOMAZ DE LIMA; MELISSA LEMOS; MARCO ANTONIO CASANOVA,M,1.0,2.0
VICTOR JOSE BELTRAO ALMAJANO MARTINEZ; FRANCISCO GLAUBOS NUNES CLIMACO; ARISTOFANES CORREA SILVA,M,0.0,1.0
MIQUELLY NICOLINI LUCAS; GABRIEL DONNA ALTOE; LUIZ CARLOS COSMI FILHO; RAQUEL FRIZERA VASSALLO,unknown,1.0,1.0
GABRIEL DONNA ALTOE; MIQUELLY NICOLINI LUCAS; LUIZ CARLOS COSMI FILHO; RAQUEL FRIZERA VASSALLO,M,1.0,1.0
THIERRIR ALENCAR DA S. VIANA; ISMAEL HENRIQUE GONCALVES; ISAIAS SILVA DE PAULA; FRANCISCO HERCULES DOS S. SILVA; PEDRO P. REBOUCAS FILHO,unknown,0.0,1.0
L. L. LANTMANN; F. G. GAUER; I. C. REINHEIMER; D. C. DE SOUZA; M. M. BERNARDES; C. E. POLI-DE-FIGUEIREDO; S. R. MUSSE,unknown,0.0,7.0
MARIA EDUARDA CAETANO DA SILVA; WILLIAM DE ARAUJO DIAS; KAIUSKA SILVA PEIXOTO; PEDRO OLAVO DE PAULA LIMA; ANTONIO AUGUSTO TEIXEIRA PEIXOTO; AUZUIR RIPARDO DE ALEXANDRIA,F,1.0,2.0
MATHEUS A. CERQUEIRA; BARBARA C. BENATO; ALEXANDRU C. TELEA; ALEXANDRE X. FALCAO,M,1.0,1.0
GABRIEL E. LIMA; EDUARDO SANTOS; EDUIL NASCIMENTO JR.; RAYSON LAROCA; DAVID MENOTTI,M,0.0,1.0
GABRIEL E. LIMA; EDUARDO SANTOS; EDUIL NASCIMENTO JR.; RAYSON LAROCA; DAVID MENOTTI,M,0.0,1.0
NAILA SUELE MASCARENHAS SILVA; CARLOS ALBERTO RODRIGUES; AIRANDES DE SOUSA PINTO; BRAULIO MUZZI RIBEIRO DE OLIVEIRA; RENATA FONSECA MENDOZA; MARIA DO CARMO PEREIRA NUNES,F,3.0,1.0
KEANU FROTA SALES; RAISSA MORAES BALDEZ; PERICLES LOPES MACHADO; VINICIUS AUGUSTO CARVALHO DE ABREU; JACQUELIN TERESA CAMPEROS-REYES; CRISTIAN BERRIO ZAPATA; CRISTIANO MENDEL MARTINS,unknown,1.0,2.0
BIONDA ROZIN; DANIEL CARLOS GUIMARAES PEDRONETTE,unknown,0.0,1.0
LYANH VINICIOS LOPES PINTO; MARCOS CESAR DA ROCHA SERUFFO,unknown,0.0,1.0
FRANCISCO PEGORARO ETCHEVERRIA; RAYAN RADDATZ DE MATOS; KENICHI BRUMATI; LUCAS MELLO SCHNORR,M,0.0,1.0
ANDRES D. PERALTA; EULANDA MIRANDA DOS SANTOS; MARCELO GORDO; JIE XIE; JUAN G. COLONNA,M,0.0,2.0
MARIO HADDAD-NETO; DIOGENES SILVA; ITALO CALIARI; HENDRIO BRAGANCA,M,0.0,1.0
MOSER ZEFERINO VICENTE JOSE; PEDRO DE ALMEIDA MUTTER; JULIO CEZAR ESTRELLA,unknown,0.0,1.0
EDUARDO FERREIRA DA SILVA; JOEL PIRES; DENIS ROBSON DANTAS; MAYKI DOS SANTOS OLIVEIRA; FREDERICO ARAUJO DURAO,M,0.0,1.0
RAYFRAN ROCHA LIMA; KAMILA CARDOSO VASCONCELOS; ELOISA MENDONCA GADELHA,unknown,2.0,1.0
DANIEL AUGUSTO R. LIMA DE SOUZA; FABIO C. RAMOS; CAINA S. DE OLIVEIRA; EDLUCE L. VERAS; PAULO FABRICIO DA F. LOPES; BARBARA L. SANTOS; JOSE DIOGO B. DE SOUZA; ADRIANO DE O. OLIVEIRA,M,1.0,1.0
