primeiro_nome,genero
",",desconhecido
A.,desconhecido
AAMIR,desconhecido
AARON,masculino
AASIM,desconhecido
ABAD,desconhecido
ABADIO,masculino
ABDA,feminino
ABDERRAZEK,desconhecido
ABDOU,desconhecido
ABDOUL,desconhecido
ABDOULAYE,desconhecido
ABDUL,masculino
ABDULLAH,desconhecido
ABDULRAZAQ,desconhecido
ABDURRAHMAN,desconhecido
ABEL,masculino
ABELARDO,masculino
ABHIJOT,desconhecido
ABHISHEK,desconhecido
ABILIO,masculino
ABINADABE,masculino
ABISAGUE,desconhecido
ABNER,masculino
ABRAAO,masculino
ABRAHAM,masculino
ABRAHAO,masculino
ABREU,masculino
ACACIO,masculino
ACARCIO,desconhecido
ACAUAN,masculino
ACCACIO,masculino
ACHILLES,masculino
ACHIM,desconhecido
ACQUILA,desconhecido
AD.,desconhecido
ADAHIL,desconhecido
ADAIR,masculino
ADAKRISHNA,desconhecido
ADALBERY,desconhecido
ADALBYANE,desconhecido
ADALMARIA,desconhecido
ADALTO,masculino
ADAM,masculino
ADAMO,masculino
ADAMOR,masculino
ADAO,masculino
ADAUTO,masculino
ADBYS,desconhecido
ADDA,feminino
ADDISON,masculino
ADELARDO,masculino
ADELITO,masculino
ADELMO,masculino
ADELSON,masculino
ADEMAR,masculino
ADEMIR,masculino
ADENAUER,masculino
ADENILSO,masculino
ADEOYE,desconhecido
ADHONAY,desconhecido
ADICINEIA,desconhecido
ADIEL,masculino
ADILIO,masculino
ADILMAR,masculino
ADILSON,masculino
ADIN,desconhecido
ADINE,feminino
ADINOVAM,desconhecido
ADITYA,desconhecido
ADLER,masculino
ADLLA,feminino
ADNA,feminino
ADNAN,masculino
ADNNY,desconhecido
ADOLFO,masculino
ADOLFY,desconhecido
ADONAI,masculino
ADONNEY,desconhecido
ADRIA,provavelmente_feminino
ADRIAN,masculino
ADRIANA,feminino
ADRIANE,feminino
ADRIANNO,masculino
ADRIANNY,feminino
ADRIANO,masculino
ADRIEL,masculino
ADRIELL,masculino
ADRIELSON,masculino
ADRIEN,masculino
ADRILANA,desconhecido
ADRILLER,desconhecido
ADRISSON,masculino
ADRYA,feminino
ADSON,masculino
ADWAIT,desconhecido
AECIO,masculino
AEDA,desconhecido
AELLISON,desconhecido
AFAQ,desconhecido
AFONSO,masculino
AGADIR,masculino
AGATA,feminino
AGATHA,feminino
AGEBSON,desconhecido
AGEMILSON,desconhecido
AGENOR,masculino
AGMA,feminino
AGNALDO,masculino
AGUIAR,masculino
AGUIMAR,masculino
AGUINALDO,masculino
AHILTON,desconhecido
AHMAD,masculino
AHMED,masculino
AIAN,masculino
AIDA,feminino
AIDAN,masculino
AIKATERINI-LIDA,desconhecido
AILA,feminino
AILAMAR,desconhecido
AILEEN,desconhecido
AILLKEEN,desconhecido
AILTON,masculino
AIMILIA,desconhecido
AIR,provavelmente_masculino
AIRAM,ambos
AIRANDES,desconhecido
AIRTON,masculino
AIS,desconhecido
AISSA,feminino
AJALMAR,desconhecido
AJAY,desconhecido
AKEBO,desconhecido
AKHIL,desconhecido
AKIRAH,desconhecido
AKOND,desconhecido
AKOS,desconhecido
AKSHAY,desconhecido
AKYNARA,desconhecido
ALAIANE,feminino
ALAIDE,feminino
ALAIM,masculino
ALAIN,masculino
ALAIR,provavelmente_masculino
ALAIRTON,masculino
ALAN,masculino
ALANA,feminino
ALANN,masculino
ALASTAIR,desconhecido
ALAY,desconhecido
ALAYSE,desconhecido
ALBA,feminino
ALBAN,desconhecido
ALBANO,masculino
ALBANY,provavelmente_feminino
ALBENE,feminino
ALBERLENE,feminino
ALBERT,masculino
ALBERTINA,feminino
ALBERTO,masculino
ALBINO,masculino
ALBIO,masculino
ALCEMIR,masculino
ALCEU,masculino
ALCIDES,masculino
ALCILENE,feminino
ALCIMAR,masculino
ALCIONE,provavelmente_feminino
ALCY,provavelmente_masculino
ALCYR,masculino
ALDEBARO,desconhecido
ALDELIR,provavelmente_masculino
ALDEN,masculino
ALDERYCK,desconhecido
ALDISIO,masculino
ALDO,masculino
ALDRI,ambos
ALDRIN,masculino
ALEARDO,desconhecido
ALECIO,masculino
ALEDIR,provavelmente_feminino
ALEF,masculino
ALEFFER,masculino
ALEJANDRA,feminino
ALEJANDRO,masculino
ALEKISS,desconhecido
ALEKSANDAR,desconhecido
ALEKSANDER,masculino
ALEKSANDRA,feminino
ALEKSEY,desconhecido
ALEMAX,masculino
ALENCAR,masculino
ALEPH,masculino
ALESSANDRA,feminino
ALESSANDREIA,desconhecido
ALESSANDRO,masculino
ALESSIO,masculino
ALESSON,masculino
ALETEIA,feminino
ALETH,desconhecido
ALETHEA,feminino
ALETHEIA,feminino
ALEX,masculino
ALEXANDER,masculino
ALEXANDRA,feminino
ALEXANDRE,masculino
ALEXANDRO,masculino
ALEXANDRU,desconhecido
ALEXEI,masculino
ALEXEIA,desconhecido
ALEXIA,feminino
ALEXIS,masculino
ALEXSANDER,masculino
ALEXSANDRA,feminino
ALEXSANDRO,masculino
ALEXTIAN,desconhecido
ALEXYA,feminino
ALFRAINO,desconhecido
ALFREDO,masculino
ALGEIR,desconhecido
ALGIRDAS,desconhecido
ALI,masculino
ALIANE,feminino
ALICE,feminino
ALICIA,feminino
ALIESKI,desconhecido
ALIETE,feminino
ALIFE,masculino
ALIMED,desconhecido
ALINA,feminino
ALINE,feminino
ALINNE,feminino
ALINNY,feminino
ALIREZA,desconhecido
ALIRIO,masculino
ALISANDRA,feminino
ALISON,masculino
ALISSAR,desconhecido
ALISSON,masculino
ALIX,provavelmente_masculino
ALJOSA,desconhecido
ALLAINN,desconhecido
ALLAMY,desconhecido
ALLAN,masculino
ALLANA,feminino
ALLANY,feminino
ALLBERSON,desconhecido
ALLEC,masculino
ALLEJANDRO,masculino
ALLEXANDRE,masculino
ALLINE,feminino
ALLYNEANHY,desconhecido
ALLYSON,masculino
ALLYSSON,masculino
ALMIR,masculino
ALNEU,desconhecido
ALTAIR,masculino
ALTAMIRO,masculino
ALTERNEI,desconhecido
ALTHIERFSON,desconhecido
ALTIERIS,masculino
ALTIGRAN,desconhecido
ALUIZIO,masculino
ALUIZIO​,desconhecido
ALVARO,masculino
ALYANA,desconhecido
ALYCE,feminino
ALYSON,masculino
ALYSSON,masculino
ALZHEIMER’S,desconhecido
AMADOR,masculino
AMAI,desconhecido
AMAILSON,masculino
AMAL,feminino
AMALEE,desconhecido
AMANDA,feminino
AMARA,feminino
AMARILDO,masculino
AMAURY,masculino
AMERSON,masculino
AMI,feminino
AMIEL,masculino
AMILCAR,masculino
AMINA,feminino
AMIR,masculino
AMIRA,feminino
AMIRTON,masculino
AMISH,desconhecido
AMIT,desconhecido
AMJAD,desconhecido
AMY,feminino
AMYR,masculino
ANA,feminino
ANACILIA,desconhecido
ANAGE,desconhecido
ANAIS,feminino
ANALIA,feminino
ANALUCIA,feminino
ANAMARIA,feminino
ANAMARY,desconhecido
ANAND,desconhecido
ANANTH,desconhecido
ANAROSA,desconhecido
ANASTACIA,feminino
ANASTASIIA,desconhecido
ANASTASIUS,desconhecido
ANAXMANDRA,desconhecido
ANAYNA,desconhecido
