Event,Ano,Total_Autoras,Total_Autores_Masculinos,Primeiras_Autoras,Total_Autores,Primeiros_Autores_Masculinos,Total_Artigos,Proporcao_Autoras,Proporcao_Primeiras_Autoras,Media_Autoras_Lideranca_Feminina,Media_Autoras_Lideranca_Masculina
ACTAS DEL WORKSHOP DE EDUCACIóN A DISTANCIA Y APRENDIZAJE HíBRIDO (WEADEH),"2023,0000",13,7,4,20,3,7,"0,6500","0,5714","2,2500","1,3333"
ACTAS DEL WORKSHOP DE EDUCACIóN A DISTANCIA Y APRENDIZAJE HíBRIDO (WEADEH),"2024,0000",20,17,4,37,6,10,"0,5405","0,4000","2,2500","1,8333"
ACTAS DEL WORKSHOP SOBRE PENSAMIENTO COMPUTACIONAL E INCLUSIóN (WPCI),"2022,0000",38,15,8,55,7,15,"0,6909","0,5333","2,6250","2,4286"
ACTAS DEL WORKSHOP SOBRE PENSAMIENTO COMPUTACIONAL E INCLUSIóN (WPCI),"2023,0000",29,13,12,45,3,15,"0,6444","0,8000","2,2500","0,6667"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2008,0000",5,24,0,29,10,10,"0,1724","0,0000",,"0,5000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2009,0000",2,4,1,6,2,3,"0,3333","0,3333","2,0000","0,0000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2010,0000",2,4,0,7,3,3,"0,2857","0,0000",,"0,6667"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2011,0000",2,7,0,9,3,3,"0,2222","0,0000",,"0,6667"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2012,0000",0,4,0,4,1,1,"0,0000","0,0000",,"0,0000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2013,0000",3,8,1,12,4,5,"0,2500","0,2000","1,0000","0,5000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2014,0000",0,12,0,12,3,3,"0,0000","0,0000",,"0,0000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2015,0000",4,21,0,25,9,9,"0,1600","0,0000",,"0,4444"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2016,0000",1,25,0,26,8,8,"0,0385","0,0000",,"0,1250"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2017,0000",0,3,0,3,1,1,"0,0000","0,0000",,"0,0000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2018,0000",1,3,1,4,1,2,"0,2500","0,5000","1,0000","0,0000"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2019,0000",2,7,0,9,3,3,"0,2222","0,0000",,"0,6667"
ANAIS DO CONCURSO DE TRABALHOS DE INICIAçãO CIENTíFICA DA SBC (CTIC-SBC),"2020,0000",4,6,2,10,2,4,"0,4000","0,5000","2,0000","0,0000"
ANAIS DO CONGRESSO SOBRE TECNOLOGIAS NA EDUCAçãO (CTRL+E),"2019,0000",29,32,8,66,8,16,"0,4394","0,5000","2,3750","1,2500"
ANAIS DO CONGRESSO SOBRE TECNOLOGIAS NA EDUCAçãO (CTRL+E),"2020,0000",77,55,21,141,18,39,"0,5461","0,5385","2,4762","1,3889"
ANAIS DO CONGRESSO SOBRE TECNOLOGIAS NA EDUCAçãO (CTRL+E),"2021,0000",83,75,25,166,24,49,"0,5000","0,5102","2,2400","1,1250"
ANAIS DO CONGRESSO SOBRE TECNOLOGIAS NA EDUCAçãO (CTRL+E),"2023,0000",76,106,23,193,31,54,"0,3938","0,4259","2,0000","0,9677"
ANAIS DO ENCONTRO NACIONAL DE INTELIGêNCIA ARTIFICIAL E COMPUTACIONAL (ENIAC),"2018,0000",69,184,15,257,64,79,"0,2685","0,1899","1,7333","0,6719"
ANAIS DO ENCONTRO NACIONAL DE INTELIGêNCIA ARTIFICIAL E COMPUTACIONAL (ENIAC),"2019,0000",53,181,14,245,58,72,"0,2163","0,1944","1,7143","0,5000"
ANAIS DO ENCONTRO NACIONAL DE INTELIGêNCIA ARTIFICIAL E COMPUTACIONAL (ENIAC),"2021,0000",64,187,11,258,60,71,"0,2481","0,1549","1,5455","0,7833"
ANAIS DO ENCONTRO UNIFICADO DE COMPUTAçãO DO PIAUí (ENUCOMPI),"2021,0000",23,74,3,103,27,30,"0,2233","0,1000","2,3333","0,5926"
ANAIS DO ENCONTRO UNIFICADO DE COMPUTAçãO DO PIAUí (ENUCOMPI),"2022,0000",2,9,0,11,4,4,"0,1818","0,0000",,"0,5000"
ANAIS DO ENCONTRO UNIFICADO DE COMPUTAçãO DO PIAUí (ENUCOMPI),"2023,0000",0,8,0,9,4,4,"0,0000","0,0000",,"0,0000"
ANAIS DO ENCONTRO UNIFICADO DE COMPUTAçãO DO PIAUí (ENUCOMPI),"2025,0000",18,46,9,68,12,21,"0,2647","0,4286","1,2222","0,5833"
ANAIS DO LATIN-AMERICAN SYMPOSIUM ON DEPENDABLE COMPUTING (LADC),"2018,0000",6,49,2,74,18,20,"0,0811","0,1000","1,0000","0,2222"
ANAIS DO LATIN-AMERICAN SYMPOSIUM ON DEPENDABLE COMPUTING (LADC),"2021,0000",3,15,0,24,7,7,"0,1250","0,0000",,"0,4286"
ANAIS DO SIMPóSIO BRASILEIRO DE COMPUTAçãO MUSICAL (SBCM),"2019,0000",14,171,2,188,48,50,"0,0745","0,0400","1,0000","0,2500"
ANAIS DO SIMPóSIO BRASILEIRO DE COMPUTAçãO MUSICAL (SBCM),"2021,0000",24,161,8,195,43,51,"0,1231","0,1569","1,2500","0,3256"
ANAIS DO SIMPóSIO BRASILEIRO DE ROBóTICA E SIMPóSIO LATINO AMERICANO DE ROBóTICA (SBR/LARS),"2019,0000",67,240,16,317,70,86,"0,2114","0,1860","1,9375","0,5143"
ANAIS DO SIMPóSIO BRASILEIRO DE ROBóTICA E SIMPóSIO LATINO AMERICANO DE ROBóTICA (SBR/LARS),"2020,0000",59,247,13,317,57,70,"0,1861","0,1857","2,5385","0,4561"
ANAIS DO SIMPóSIO BRASILEIRO DE ROBóTICA E SIMPóSIO LATINO AMERICANO DE ROBóTICA (SBR/LARS),"2021,0000",47,215,11,278,52,63,"0,1691","0,1746","1,9091","0,5000"
ANAIS DO SIMPóSIO BRASILEIRO DE ROBóTICA E SIMPóSIO LATINO AMERICANO DE ROBóTICA (SBR/LARS),"2022,0000",54,261,16,323,60,76,"0,1672","0,2105","1,8750","0,4000"
ANAIS DO SIMPóSIO EM SISTEMAS COMPUTACIONAIS DE ALTO DESEMPENHO (SSCAD),"2025,0000",19,120,4,143,36,40,"0,1329","0,1000","2,0000","0,3056"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2012,0000",23,43,9,74,12,21,"0,3108","0,4286","1,4444","0,8333"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2013,0000",18,35,3,63,14,17,"0,2857","0,1765","1,6667","0,9286"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2014,0000",10,24,3,37,9,12,"0,2703","0,2500","2,0000","0,4444"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2015,0000",15,34,4,51,11,15,"0,2941","0,2667","2,0000","0,6364"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2016,0000",10,23,5,34,8,13,"0,2941","0,3846","1,6000","0,2500"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2017,0000",4,6,1,10,2,3,"0,4000","0,3333","4,0000","0,0000"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2018,0000",1,2,0,3,1,1,"0,3333","0,0000",,"1,0000"
ANAIS DO WORKSHOP DE DESAFIOS DA COMPUTAçãO APLICADA à EDUCAçãO (DESAFIE!),"2019,0000",12,18,3,35,7,10,"0,3429","0,3000","3,6667","0,1429"
ANAIS DO WORKSHOP DE INFORMáTICA NA EDUCAçãO INCLUSIVA (WIEI),"2024,0000",30,24,12,54,5,17,"0,5556","0,7059","1,9167","1,4000"
ANAIS DO WORKSHOP DE INFORMáTICA NA ESCOLA (WIE),"2021,0000",48,52,17,102,10,27,"0,4706","0,6296","1,7059","1,9000"
ANAIS DO WORKSHOP DE REDES QUâNTICAS (WQUNETS),"2024,0000",4,18,1,22,5,6,"0,1818","0,1667","1,0000","0,6000"
ANAIS DO WORKSHOP DE REDES QUâNTICAS (WQUNETS),"2025,0000",4,26,0,32,7,7,"0,1250","0,0000",,"0,5714"
ANAIS DO WORKSHOP SOBRE AS IMPLICAçõES DA COMPUTAçãO NA SOCIEDADE (WICS),"2020,0000",10,14,3,26,6,9,"0,3846","0,3333","2,0000","0,6667"
ANAIS DO WORKSHOP SOBRE AS IMPLICAçõES DA COMPUTAçãO NA SOCIEDADE (WICS),"2021,0000",13,9,3,22,2,5,"0,5909","0,6000","3,0000","2,0000"
ANAIS DO WORKSHOP SOBRE AS IMPLICAçõES DA COMPUTAçãO NA SOCIEDADE (WICS),"2022,0000",10,23,4,35,6,10,"0,2857","0,4000","1,7500","0,5000"
ANAIS DO WORKSHOP SOBRE AS IMPLICAçõES DA COMPUTAçãO NA SOCIEDADE (WICS),"2023,0000",17,30,2,49,10,12,"0,3469","0,1667","2,5000","1,2000"
ANAIS DO WORKSHOP SOBRE AS IMPLICAçõES DA COMPUTAçãO NA SOCIEDADE (WICS),"2024,0000",17,46,3,66,14,17,"0,2576","0,1765","2,0000","0,7857"
ANAIS DO WORKSHOP SOBRE AS IMPLICAçõES DA COMPUTAçãO NA SOCIEDADE (WICS),"2025,0000",33,79,9,116,21,30,"0,2845","0,3000","1,8889","0,7619"
ANAIS DO WORKSHOP SOBRE BOTS NA ENGENHARIA DE SOFTWARE (WBOTS),"2024,0000",3,20,0,29,8,8,"0,1034","0,0000",,"0,3750"
ANAIS DO WORKSHOP SOBRE BOTS NA ENGENHARIA DE SOFTWARE (WBOTS),"2025,0000",10,30,1,42,6,7,"0,2381","0,1429","1,0000","1,5000"
ANAIS DO WORKSHOP UMA TARDE NA URCA: ENCONTRO FILOSóFICO SOBRE INFORMáTICA NA EDUCAçãO (URCA),"2024,0000",8,6,4,15,5,9,"0,5333","0,4444","1,2500","0,6000"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2007,0000",10,22,3,37,10,13,"0,2703","0,2308","1,3333","0,6000"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2008,0000",26,26,12,56,9,21,"0,4643","0,5714","2,0000","0,2222"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2009,0000",14,22,3,38,10,13,"0,3684","0,2308","1,6667","0,9000"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2010,0000",18,40,6,71,15,21,"0,2535","0,2857","1,3333","0,6667"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2011,0000",18,56,3,81,19,22,"0,2222","0,1364","1,0000","0,7895"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2012,0000",20,63,4,94,25,29,"0,2128","0,1379","1,2500","0,6000"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2013,0000",32,78,8,124,28,36,"0,2581","0,2222","1,5000","0,7143"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2014,0000",23,38,8,74,18,26,"0,3108","0,3077","1,3750","0,6667"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2015,0000",15,55,1,78,26,27,"0,1923","0,0370","2,0000","0,5000"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2016,0000",18,45,4,73,16,20,"0,2466","0,2000","1,7500","0,6875"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2017,0000",24,46,4,75,21,25,"0,3200","0,1600","1,7500","0,8095"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2018,0000",21,58,5,84,22,27,"0,2500","0,1852","1,6000","0,5909"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2019,0000",21,52,5,82,20,25,"0,2561","0,2000","2,8000","0,3500"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2020,0000",27,46,8,83,17,25,"0,3253","0,3200","2,3750","0,4706"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2021,0000",13,33,4,52,13,17,"0,2500","0,2353","1,7500","0,4615"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2022,0000",9,31,3,44,9,12,"0,2045","0,2500","2,3333","0,2222"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2023,0000",12,33,2,48,14,16,"0,2500","0,1250","2,5000","0,5000"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2024,0000",10,50,4,70,17,21,"0,1429","0,1905","1,2500","0,2941"
"ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)","2025,0000",21,99,6,131,27,33,"0,1603","0,1818","1,5000","0,4444"
ANAIS ESTENDIDOS DO SEMINáRIO DE EDUCAçãO,"2021,0000",319,73,113,416,47,160,"0,7668","0,7063","2,4071","1,0000"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE BIOINFORMáTICA (BSB),"2018,0000",8,23,2,31,5,7,"0,2581","0,2857","2,0000","0,8000"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE INFORMáTICA NA EDUCAçãO (SBIE),"2020,0000",2,8,0,11,3,3,"0,1818","0,0000",,"0,6667"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE INFORMáTICA NA EDUCAçãO (SBIE),"2021,0000",2,6,2,8,1,3,"0,2500","0,6667","1,0000","0,0000"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE INFORMáTICA NA EDUCAçãO (SBIE),"2022,0000",2,1,0,4,1,1,"0,5000","0,0000",,"2,0000"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE INFORMáTICA NA EDUCAçãO (SBIE),"2023,0000",6,12,2,18,3,5,"0,3333","0,4000","2,5000","0,3333"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2010,0000",37,117,9,162,38,47,"0,2284","0,1915","1,7778","0,5526"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2011,0000",16,56,3,73,21,24,"0,2192","0,1250","1,6667","0,5238"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2012,0000",29,54,7,83,22,29,"0,3494","0,2414","2,1429","0,6364"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2013,0000",5,59,1,66,21,22,"0,0758","0,0455","2,0000","0,1429"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2014,0000",17,54,4,73,16,20,"0,2329","0,2000","1,7500","0,6250"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2015,0000",6,33,2,39,7,9,"0,1538","0,2222","2,0000","0,2857"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2016,0000",16,93,6,111,28,34,"0,1441","0,1765","1,5000","0,2500"
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),"2017,0000",20,82,8,105,23,31,"0,1905","0,2581","1,6250","0,3043"
