Event,Quantidade,Quantidade_Primeira_Autora
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),2035,612
PROCEEDINGS OF THE WOMEN IN INFORMATION TECHNOLOGY (WIT),1536,369
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON COMPUTERS IN EDUCATION (SBIE),1148,269
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),926,234
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON SOFTWARE ENGINEERING (SBES),924,268
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON INFORMATION SYSTEMS (SBSI),899,209
PROCEEDINGS OF THE BRAZILIAN SOFTWARE QUALITY SYMPOSIUM (SBQS),755,187
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON HUMAN FACTORS IN COMPUTATIONAL SYSTEMS (IHC),700,156
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON COMPUTING APPLIED TO HEALTH (SBCAS),649,128
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON MULTIMEDIA AND THE WEB (WEBMEDIA),629,131
PROCEEDINGS OF THE EDUCATION SEMINAR (SEMIEDU),593,261
COMPANION PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES),573,138
COMPANION PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON HUMAN FACTORS IN COMPUTATIONAL SYSTEMS (IHC),573,150
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES),476,97
JOURNAL ON INTERACTIVE SYSTEMS,448,107
PROCEEDINGS OF THE NATIONAL MEETING ON ARTIFICIAL AND COMPUTATIONAL INTELLIGENCE (ENIAC),445,97
ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),441,104
JOURNAL OF INFORMATION AND DATA MANAGEMENT,430,85
COMPANION PROCEEDINGS OF THE BRAZILIAN CONGRESS ON COMPUTERS IN EDUCATION (CBIE),391,87
PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON DATABASES (SBBD),382,95
