id_artigo,ano,titulo,autores,abstract,topic_tfidf,tema_tfidf,topic_bertopic,tema_bertopic
1,2025,Inclusão de Mulheres na Área de Cibersegurança no Brasil,Maristela Holanda (UnB); Adrielly Lima (UnB); Emilly Victoria Bernardes (UnB); Luana Cruz Silva (UnB); Marjorie Mitzi (UnB); Aleteia Araujo (UnB); João Gondim (UnB); Maria Emilia Machado Telles Walter (UnB),"A baixa participação profissional das mulheres em Computação é mais agravada em algumas de suas áreas, como a da cibersegurança. Neste contexto, a partir de um mapeamento da literatura, este artigo apresenta ações e iniciativas feitas no Brasil para a inclusão feminina nessa área. Para isso, foram pesquisados artigos nas bases de dados Scopus, Web of Science e Google Acadêmico e em dois eventos da Sociedade Brasileira de Computação (SBC), o Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg) e o Women in Information Technology (WIT). Nessa pesquisa, localizou-se apenas um artigo, que utiliza a cibersegurança em uma atividade de inclusão de mulheres na Computação, e cinco projetos sobre o tema. Assim, constatou-se que há uma carência de informações sobre a atuação das mulheres em cibersegurança no país. Em âmbito mundial, foram encontrados artigos produzidos em países de cinco continentes. A partir dessas informações, foram propostas ações que podem contribuir para a inclusão de mulheres nesta àrea.",4,Cluster 4,-1,-1_computação_mulheres_meninas_cursos
2,2025,"Presença de mulheres na Engenharia: Um estudo sobre Representatividade no CEFET-MG, campus Divinópolis",Marinêz V. de M. Werneck Magalhães (CEFET-MG); Thabatta M. A. de Araújo (CEFET-MG); Alba V. A. Durães (CEFET-MG); Gabriella C. B. C. Dalpra (CEFET-MG),"Este estudo analisou a representatividade de mulheres nos cursos de Engenharia de Computação e Engenharia Mecatrônica do CEFET-MG, campus Divinópolis, entre 2019 e 2024, período em que apenas 17,48% das matrículas foram de mulheres. A pesquisa identificou desafios estruturais, acadêmicos e sociais que impactam sua permanência, como discriminação de gênero, baixa representatividade em cargos de liderança e dificuldades no ambiente acadêmico. A taxa de evasão de mulheres (31,51%) superou a de homens (30,14%), evidenciando essas barreiras. Iniciativas institucionais, como o projeto ”Padawoman”, mostraram-se relevantes para mitigar essas dificuldades, promovendo um ambiente de apoio para 82% das alunas. No entanto, 56% das entrevistadas acreditam que a instituição deve investir mais em políticas de inclusão e suporte específico. Os resultados destacam a necessidade de estratégias institucionais individualizadas, como redes de apoio e programas de conscientização, e a formação de docentes e equipes psicossocial para fortalecer a equidade de gênero. Essas ações são essenciais para a permanência e sucesso das estudantes, além de contribuírem para um ambiente acadêmico mais inclusivo e diversificado na Engenharia.",1,Cluster 1,8,8_preconceito_políticas_dados_homens
3,2025,"Interseccionalidade e Tecnologia: Um Mapeamento Sistemático de Publicações em Português sobre Gênero, Raça e Classe na Participação Feminina",Karolyne Rodrigues (IFCE); Rayane Silva Duarte (IFCE); Ádina Lima (IFCE); Fernanda Ferreira do Nascimento (IFCE); Rogério Lopes Vieira César (IFCE),"O presente estudo consiste em um Mapeamento Sistemático da Literatura que objetivou buscar, analisar e avaliar trabalhos acadêmicos que abordem a interseção de gênero, raça e classe na participação feminina no setor tecnológico. O Mapeamento investiga o quão abragente e crítica os produtos científicos estão tratando a problemática das desigualdades estruturais que limitam a inclusão de mulheres, especialmente negras e de baixa renda, no campo da tecnologia. A pesquisa não apenas destaca as barreiras enfrentadas, mas também busca identificar estratégias de resistência e iniciativas que promovem o empoderamento dessas mulheres.",4,Cluster 4,26,26_dados_abertos_stem_emílias
4,2025,Investigando o Ingresso e a Permanência Feminina no Curso de Ciência da Computação da UESB: Uma Análise Dos Últimos 10 Anos,Lívia Evily de A. Rocha (UESB); Ana Carolina X. Castro (UESB); Camille R. Costa (UESB); Lis L. Sousa (UESB); Maria Luísa G. Gonzalez (UESB),"Este artigo analisa a participação feminina no curso de Ciência da Computação da UESB entre 2014 e 2024, com foco no ingresso e permanência das alunas. A pesquisa adota uma abordagem quali-quantitativa, combinando dados institucionais sobre matrículas e evasão com fatores socioculturais e institucionais. O objetivo é compreender a evolução das taxas de ingresso, comparar a evasão entre gêneros e verificar se as tendências da instituição refletem o cenário de outras universidades brasileiras, visando contribuir para políticas de equidade de gênero.",5,Cluster 5,3,3_brasil_feminina_cursos_superior
5,2025,Conectando Mulheres à STEM: Um Panorama dos Eventos de Empoderamento Feminino na Tecnologia da Informação,Ana Clara Ribeiro Rodrigues da Cunha (IFTM); Lídia Bononi Paiva Tomaz (IFTM),"A baixa representatividade feminina na Tecnologia da Informação resulta de fatores sociais e culturais que historicamente afastaram as mulheres das carreiras tecnológicas. No Brasil, essa desigualdade é evidente na formação acadêmica e no mercado de trabalho, refletindo-se nas áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM). Entre as iniciativas para reverter esse cenário, destacam-se os eventos voltados ao empoderamento feminino, que promovem trocas de experiências, redes de apoio e debates sobre equidade de gênero. Neste sentido, este trabalho analisou esse tipo de evento no âmbito nacional. Os resultados indicaram predominância de iniciativas organizadas por instituições acadêmicas e comunidades locais.",4,Cluster 4,3,3_brasil_feminina_cursos_superior
6,2025,Mulheres na Integração de Produtos do Instituto Eldorado: Quais suas Motivações e Expectativas na Carreira?,Ariel Luane Bentes (IPE); Anna Beatriz Marques (UFC); Adriana Damian (IPE),"Na literatura, diversos estudos abordam a escassez de mulheres em cursos de graduação na área de tecnologia, um fenômeno que pode estar diretamente ligado à baixa representatividade feminina no mercado de trabalho. No entanto, em relação às mulheres que atuam no mercado de trabalho, quais as suas principais motivações para permanecer na área de tecnologia? Quais suas expectativas sobre a carreira? Dado esse contexto, esse artigo apresenta um estudo exploratório que investigou mulheres que atuam no desenvolvimento de software na área de Integração de Produtos do Instituto de Pesquisas Eldorado. Dentre os resultados obtidos, notou-se que a valorização profissional e representatividade feminina as motivam a permanecer na área. Os resultados obtidos nessa pesquisa podem colaborar com pesquisas que visam compreender aspectos que estimulam as mulheres a permanecerem no mercado de trabalho e também podem contribuir com o engajamento de mais mulheres na área de tecnologia.",5,Cluster 5,11,11_mulheres_tecnologia_cientista_escolhas
7,2025,A Síndrome do Impostor entre estudantes de tecnologia na Universidade Federal do Amazonas,Fernanda Alice F. Duarte (UFAM); Ana Carolina Oran (UFAM); Anna Beatriz Marques (UFC),"A Síndrome do Impostor é um fenômeno que afeta a autoconfiança e o desempenho de uma pessoa, sendo comum em áreas competitivas, como a tecnologia. Este estudo investiga sua prevalência entre 101 estudantes de Engenharia de Software e Ciência da Computação da Universidade Federal do Amazonas, analisando se as alunas enfrentam essa condição com maior frequência. A pesquisa utilizou um questionário que inclui a Escala Clance do Fenômeno do Impostor (CIPS) para avaliar a intensidade da síndrome e a autopercepção dos participantes. Os resultados mostram que uma parcela significativa dos respondentes é afetada, sendo a maioria formada por mulheres, o que destaca a necessidade de medidas de suporte específicas para esse grupo.",5,Cluster 5,6,6_pesquisa_egressas_estudo_viés
8,2025,Desafios e Perspectivas da Participação Feminina na Tecnologia: Um Estudo sobre o Programa OxeTech,Lais S. Almeida (UFAL); Geymerson S. Ramos (UFAL); Raquel S. Cabral (UFAL); Eliana S. Almeida (UFAL),"Este estudo analisa o alcance e a presença feminina no programa OxeTech, uma iniciativa estadual de capacitação em Tecnologia da Informação. A partir da aplicação de métodos estatísticos sobre mais de 8500 registros anônimos, identificou-se uma associação significativa entre gênero e categoria da vaga de trabalho, com sub-representação feminina em áreas como Desenvolvimento & TI, e sobre-representação nas categorias Marketing & Social Media, Criação & Design. Além disso, verificou-se uma maior adesão de mulheres a cursos introdutórios, contrastando com a predominância masculina em formações mais avançadas. Esses achados evidenciam a necessidade de políticas públicas voltadas à formação de base e ao engajamento feminino em áreas de maior complexidade técnica e liderança, ampliando sua atuação para além dos papéis de apoio.",4,Cluster 4,21,21_identificou_fatores_desigualdade_traço
9,2025,Bridging the Gap: A Data-Driven Analysis of How Traditional Software Engineering Productivity Metrics Overlook Women’s Performance,Lorena M. V. Seabra (CESAR School); Pamela T. L. Bezerra (CESAR School),"A produtividade em engenharia de software é geralmente medida por métricas como linhas de código, commits e tempo de execução de tarefas, mas essas métricas ignoram fatores subjetivos importantes, como colaboração e bem-estar. Isso afeta especialmente mulheres, que enfrentam vieses de gênero, microagressões e dupla jornada. Com base em uma pesquisa com 85 engenheiras de software no Brasil, este estudo mostra como esses desafios impactam o desempenho feminino e aponta que as métricas tradicionais não valorizam adequadamente suas contribuições. Os resultados reforçam a necessidade de um modelo mais inclusivo que reconheça tanto aspectos técnicos quanto não técnicos.",5,Cluster 5,25,25_prêmios_métricas_ações_concentração
10,2025,O que é Liderança Acadêmica de Mulheres em STEM? Uma Abordagem Conceitual,Leihge Roselle Rondon Pereira (UFMT); Cristiano Maciel (UFMT); Indira Rita Guzman (CalPoly),"Este estudo apresenta uma Revisão Sistemática de Literatura, que analisa artigos acadêmicos e artigos em anais de congressos que abordam a liderança acadêmica de mulheres nas áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM). Por meio do levantamento de estudos, em idioma português, espanhol e inglês, identificamos dez categorizações sobre liderança acadêmica de mulheres em STEM. A partir das conceitualizações foi possível definir aspectos para esse modelo de liderança, sendo eles administrativo, científico e cultural. Tais aspectos são considerados relevantes para promover a equidade de gênero e inclusão na liderança acadêmica STEM.",4,Cluster 4,6,6_pesquisa_egressas_estudo_viés
